Size,Errors
130,0.040201465
154,0.501495312
143,0.055742779
136,0.446308129
142,0.879697624
142,1.044544868
138,0.979216507
142,0.802833215
142,0.681825153
149,0.01466725
135,0.021982759
143,0.026622296
146,0.630105018
154,0.856008403
138,0.205848123
140,0.487853925
146,1.269009048
146,0.544563107
140,0.260460885
130,0.067956349
152,1.030417567
130,0.6
136,1.224616041
143,0.009758109
138,0.211545802
130,1.133221226
134,0.973712446
138,0.289807585
135,0.172297297
135,0.426276408
135,0.798748856
138,0.259833078
135,0.262928443
135,0.223721816
134,0.94893617
140,0.315350709
143,0.02956621
140,0.376826455
134,0.525884956
130,0.048755187
142,0.353732639
138,0.101966765
143,0.0369375
143,0.100757852
138,0.246162281
149,0.915393013
130,0.016913809
140,0.373669771
134,0.525128866
130,0.060458959
135,0.606722942
130,0.047013532
136,0.474718622
130,0.01269671
143,0.089379774
143,0.054038005
130,0.05469656
143,0.094269596
130,0.006596306
152,1.224620493
152,0.686004785
143,1.073304384
135,0.783020777
134,0.354055258
138,0.112117347
130,0.002938214
149,0.092086157
140,0.604266696
138,0.409513708
130,0.801730921
140,0.463973966
136,0.308578947
138,1.140214606
143,0.067434693
135,0.567074868
149,0.018447348
130,0.050428571
130,0.005819838
143,0.074422651
130,0.09524952
